"Pos","Num","property12","property13","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Status","property7","property8","property9","property10","property11","index","url"
"DT","90","INT","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/t.j.barnes/2540276/profile","Barnes, T.J.","ACT","TCKL","4","SCK","0.0","FF","0","1","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OLB","53","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/nigelbradham/2532800/profile","Bradham, Nigel","ACT","TCKL","59","SCK","1.0","FF","0","2","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","33","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ronbrooks/2533332/profile","Brooks, Ron","RES","TCKL","12","SCK","0.0","FF","0","3","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"MLB","52","INT","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/prestonbrown/2543814/profile","Brown, Preston","ACT","TCKL","120","SCK","0.0","FF","1","4","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","97","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/corbinbryant/2531031/profile","Bryant, Corbin","ACT","TCKL","45","SCK","0.0","FF","0","5","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","39","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/mariobutler/2495130/profile","Butler, Mario","ACT","TCKL","9","SCK","0.0","FF","0","6","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"K","2","LNG","52","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/dancarpenter/2507401/profile","Carpenter, Dan","ACT","FGA","27","FGM","23","PCT","85.2","7","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DE","98","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/alexcarrington/496766/profile","Carrington, Alex","RES","TCKL","8","SCK","0.0","FF","0","8","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"T","79","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/tysonchandler/2553503/profile","Chandler, Tyson","RES","G","--","GS","--","","","9","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","96","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/stefancharles/2541925/profile","Charles, Stefan","ACT","TCKL","13","SCK","1.0","FF","1","10","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"TE","85","TDS","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/charlesclay/2495139/profile","Clay, Charles","RES","REC","51","YDS","528","AVG","10.4","11","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","28","INT","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ronalddarby/2552689/profile","Darby, Ronald","ACT","TCKL","68","SCK","0.0","FF","0","12","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","99","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/marcelldareus/2495478/profile","Dareus, Marcell","ACT","TCKL","51","SCK","2.0","FF","0","13","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"RB","26","TDS","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/anthonydixon/497172/profile","Dixon, Anthony","ACT","CAR","21","YDS","44","AVG","2.1","14","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","81","TDS","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/marcuseasley/497286/profile","Easley, Marcus","RES","REC","1","YDS","58","AVG","58.0","15","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DE","93","INT","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/lavaredwards/2539938/profile","Edwards, Lavar","ACT","TCKL","0","SCK","0.0","FF","0","16","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"LB","75","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ikenemkpali/2543598/profile","Enemkpali, IK","ACT","TCKL","13","SCK","0.0","FF","0","17","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"FB","42","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jeromefelton/230/profile","Felton, Jerome","ACT","CAR","1","YDS","2","AVG","2.0","18","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"K","4","LNG","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jordangay/2542060/profile","Gay, Jordan","ACT","FGA","--","FGM","--","PCT","--","19","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"RB","35","TDS","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/mikegillislee/2539663/profile","Gillislee, Mike","ACT","CAR","47","YDS","267","AVG","5.7","20","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","24","INT","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/stephongilmore/2533062/profile","Gilmore, Stephon","RES","TCKL","36","SCK","0.0","FF","0","21","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"T","77","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/cordyglenn/2532849/profile","Glenn, Cordy","ACT","G","16","GS","16","","","22","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","88","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/marquisegoodwin/2539964/profile","Goodwin, Marquise","RES","REC","2","YDS","24","AVG","12.0","23","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"TE","89","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/chrisgragg/2539202/profile","Gragg, Chris","ACT","REC","12","YDS","150","AVG","12.5","24","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"FS","20","INT","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/coreygraham/2495613/profile","Graham, Corey","ACT","TCKL","127","SCK","1.0","FF","0","25","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"TE","48","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/marqueisgray/2540259/profile","Gray, MarQueis","RES","REC","1","YDS","2","AVG","2.0","26","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"G","72","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ryangroy/2550569/profile","Groy, Ryan","ACT","G","4","GS","0","","","27","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","80","TDS","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/leonardhankerson/2495158/profile","Hankerson, Leonard","ACT","REC","26","YDS","327","AVG","12.6","28","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","18","TDS","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/percyharvin/80425/profile","Harvin, Percy","RES","REC","19","YDS","218","AVG","11.5","29","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","15","TDS","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/chrishogan/2530515/profile","Hogan, Chris","ACT","REC","36","YDS","450","AVG","12.5","30","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DE","55","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jerryhughes/496796/profile","Hughes, Jerry","ACT","TCKL","52","SCK","5.0","FF","2","31","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OG","64","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/richieincognito/2506420/profile","Incognito, Richie","ACT","G","16","GS","16","","","32","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"QB","8","RTG","0.0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/joshjohnson/264/profile","Johnson, Josh","ACT","TDS","0","INT","0","YDS","0","33","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OLB","58","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/randelljohnson/2549915/profile","Johnson, Randell","RES","TCKL","6","SCK","0.0","FF","0","34","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"T","71","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/cyruskouandjio/2543482/profile","Kouandjio, Cyrus","ACT","G","12","GS","2","","","35","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OLB","91","INT","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/mannylawson/2495885/profile","Lawson, Manny","ACT","TCKL","47","SCK","1.0","FF","0","36","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","13","TDS","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/dezminlewis/2552411/profile","Lewis, Dezmin","ACT","REC","--","YDS","--","AVG","--","37","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"QB","3","RTG","78.5","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ejmanuel/2539228/profile","Manuel, EJ","ACT","TDS","3","INT","3","YDS","561","38","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"RB","25","TDS","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/leseanmccoy/79607/profile","McCoy, LeSean","ACT","CAR","203","YDS","895","AVG","4.4","39","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","21","INT","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/leodismckelvin/1298/profile","McKelvin, Leodis","ACT","TCKL","32","SCK","0.0","FF","0","40","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DB","36","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jonathanmeeks/2541309/profile","Meeks, Jonathan","ACT","TCKL","13","SCK","0.0","FF","1","41","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OG","76","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/johnmiller/2553436/profile","Miller, John","ACT","G","12","GS","12","","","42","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OT","79","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jordanmills/2540229/profile","Mills, Jordan","ACT","G","10","GS","5","","","43","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","46","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/merrillnoel/2553574/profile","Noel, Merrill","ACT","TCKL","0","SCK","--","FF","--","44","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"TE","84","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/nicko'leary/2552403/profile","O'Leary, Nick","ACT","REC","1","YDS","37","AVG","37.0","45","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"LB","57","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/typowell/2540236/profile","Powell, Ty","RES","TCKL","--","SCK","--","FF","--","46","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","19","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/waltpowell/2543619/profile","Powell, Walt","ACT","REC","0","YDS","0","AVG","0.0","47","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"SS","30","INT","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/bacarrirambo/2539234/profile","Rambo, Bacarri","ACT","TCKL","62","SCK","1.0","FF","2","48","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"LB","51","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/kevinreddick/2539271/profile","Reddick, Kevin","ACT","TCKL","4","SCK","0.0","FF","0","49","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DB","37","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/nickellrobey/2540197/profile","Robey, Nickell","ACT","TCKL","46","SCK","1.0","FF","0","50","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","17","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/gregsalas/2495223/profile","Salas, Greg","ACT","REC","3","YDS","41","AVG","13.7","51","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"LS","65","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/garrisonsanborn/2507731/profile","Sanborn, Garrison","ACT","G","16","GS","0","","","52","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"P","6","IN 20","22","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/coltonschmidt/2542246/profile","Schmidt, Colton","ACT","PUNTS","82","AVG","46.3","LNG","65","53","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DB","44","INT","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/sammyseamster/2550250/profile","Seamster, Sammy","ACT","TCKL","0","SCK","0.0","FF","0","54","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"LB","50","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/tonysteward/2553445/profile","Steward, Tony","RES","TCKL","2","SCK","0.0","FF","0","55","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OLB","59","INT","2","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/a.j.tarpley/2553605/profile","Tarpley, A.J.","ACT","TCKL","8","SCK","1.0","FF","1","56","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"QB","5","RTG","99.4","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/tyrodtaylor/2495240/profile","Taylor, Tyrod","ACT","TDS","20","INT","6","YDS","3,035","57","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"CB","41","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/camthomas/2553608/profile","Thomas, Cam","PUP","TCKL","--","SCK","--","FF","--","58","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"G","60","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/kraigurbik/71495/profile","Urbik, Kraig","ACT","G","16","GS","4","","","59","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"OLB","54","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/maxvalles/2552685/profile","Valles, Max","ACT","TCKL","0","SCK","--","FF","--","60","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","14","TDS","9","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/sammywatkins/2543457/profile","Watkins, Sammy","ACT","REC","60","YDS","1,047","AVG","17.5","61","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"SS","23","INT","1","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/aaronwilliams/2508110/profile","Williams, Aaron","RES","TCKL","15","SCK","0.0","FF","0","62","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"RB","29","TDS","7","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/karloswilliams/2552380/profile","Williams, Karlos","ACT","CAR","93","YDS","517","AVG","5.6","63","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","95","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/kylewilliams/2506931/profile","Williams, Kyle","RES","TCKL","14","SCK","1.0","FF","0","64","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DE","94","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/mariowilliams/2495982/profile","Williams, Mario","ACT","TCKL","19","SCK","5.0","FF","0","65","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"SS","27","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/dukewilliams/2539269/profile","Williams, Duke","ACT","TCKL","28","SCK","1.0","FF","0","66","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"RB","41","TDS","0","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/cierrewood/2540209/profile","Wood, Cierre","RES","CAR","2","YDS","3","AVG","1.5","67","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"C","70","","","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/ericwood/71523/profile","Wood, Eric","ACT","G","16","GS","16","","","68","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"WR","10","TDS","3","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/robertwoods/2540169/profile","Woods, Robert","RES","REC","47","YDS","552","AVG","11.7","69","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","69","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jerelworthy/2533052/profile","Worthy, Jerel","ACT","TCKL","0","SCK","--","FF","--","70","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
"DT","92","INT","--","http://www.nfl.com/teams/buffalobills/profile?team=BUF","BUF","http://www.nfl.com/player/jariuswynn/81885/profile","Wynn, Jarius","RES","TCKL","--","SCK","--","FF","--","71","http://www.nfl.com/players/search?category=team&playerType=current&filter=0610"
